subj_idx,visit,response,rt,acc,cond,ctrl
7,4,0,0.3979,1,Dual,HH
7,4,0,0.5271,1,Dual,HH
7,4,0,0.4374,1,Dual,HH
7,4,0,0.4296,1,Dual,HH
7,4,0,0.3509,1,Dual,HH
7,4,0,0.4491,1,Dual,HH
7,4,1,0.5133,1,Dual,HH
7,4,0,0.4524,1,Dual,HH
7,4,1,1.0298,0,Dual,HH
7,4,1,0.706,0,Dual,HH
7,4,1,1.0812,1,Dual,HH
7,4,0,1.3663,1,Dual,HH
7,4,1,0.4992,1,Dual,HH
7,4,0,0.3914,1,Dual,HH
7,4,0,0.4706,1,Dual,HH
7,4,1,0.5508,1,Dual,HH
7,4,1,1.1979,1,Dual,HH
7,4,0,0.4231,1,Dual,HH
7,4,0,0.2751,1,Dual,HH
7,4,0,0.4362,1,Dual,HH
7,4,0,0.3534,1,Dual,HH
7,4,0,0.5325,1,Dual,HH
7,4,1,0.5528,1,Dual,HH
7,4,1,0.579,1,Dual,HH
7,4,0,0.575,1,Dual,HH
7,4,0,1.4143,0,Dual,HH
7,4,0,0.5447,1,Dual,HH
7,4,0,0.8968,1,Dual,HH
7,4,1,0.797,1,Dual,HH
7,4,0,0.4822,1,Dual,HH
7,4,0,0.7349,1,Dual,HH
7,4,1,0.63,1,Dual,HH
7,4,1,0.4757,1,Dual,HH
7,4,0,0.5628,1,Dual,HH
7,4,0,0.4542,1,Dual,HH
7,4,1,1.0054,1,Dual,HH
7,4,1,0.5108,1,Dual,HH
7,4,0,0.5269,1,Dual,HH
7,4,1,0.5671,1,Dual,HH
7,4,1,0.3952,1,Dual,HH
7,4,0,0.4065,1,Dual,HH
7,4,0,0.4006,1,Dual,HH
7,4,1,0.4271,1,Dual,HH
7,4,0,1.7093,1,Dual,HH
7,4,1,0.6661,1,Dual,HH
7,4,1,0.8532,1,Dual,HH
7,4,1,0.5694,1,Dual,HH
7,4,0,0.6916,1,Dual,HH
7,4,1,0.2565,1,Delay,HL
7,4,1,0.315,1,Delay,HL
7,4,1,0.4372,1,Delay,HL
7,4,1,0.4843,1,Delay,HL
7,4,1,0.3095,1,Delay,HL
7,4,1,0.2997,1,Delay,HL
7,4,1,0.3952,1,Delay,HL
7,4,1,0.3344,1,Delay,HL
7,4,1,0.5266,1,Delay,HL
7,4,1,0.3658,1,Delay,HL
7,4,1,0.2502,1,Delay,HL
7,4,1,0.4716,1,Delay,HL
7,4,1,0.2898,1,Delay,HL
7,4,1,0.443,1,Delay,HL
7,4,1,0.4771,1,Delay,HL
7,4,1,0.6383,1,Delay,HL
7,4,1,0.2934,1,Delay,HL
7,4,1,0.2786,1,Delay,HL
7,4,1,0.2458,1,Delay,HL
7,4,1,0.414,1,Delay,HL
7,4,1,0.3167,1,Delay,HL
7,4,1,0.3849,1,Delay,HL
7,4,1,0.3123,1,Delay,HL
7,4,1,0.3244,1,Delay,HL
7,4,1,0.3365,1,Delay,HL
7,4,1,0.4327,1,Delay,HL
7,4,1,0.4002,1,Delay,HL
7,4,1,0.3534,1,Delay,HL
7,4,1,0.3272,1,Delay,HL
7,4,1,0.3573,1,Delay,HL
7,4,1,0.5015,1,Delay,HL
7,4,1,0.4527,1,Delay,HL
7,4,1,0.3811,1,Delay,HL
7,4,1,0.4322,1,Delay,HL
7,4,1,0.4484,1,Delay,HL
7,4,1,0.4525,1,Delay,HL
7,4,1,0.5134,1,Delay,HL
7,4,1,0.3984,1,Delay,HL
7,4,1,0.5101,1,Delay,HL
7,4,1,0.4303,1,Delay,HL
7,4,1,0.3544,1,Delay,HL
7,4,1,0.3306,1,Delay,HL
7,4,1,0.2626,1,Delay,HL
7,4,1,0.4158,1,Delay,HL
7,4,1,0.4456,1,Delay,HL
7,4,1,0.3817,1,Delay,HL
7,4,1,0.5278,1,Delay,HL
7,4,1,0.381,1,Delay,HL
7,4,1,0.6078,1,Switch,LH
7,4,1,0.7349,1,Switch,LH
7,4,0,0.4231,1,Switch,LH
7,4,0,0.4283,1,Switch,LH
7,4,1,0.4074,1,Switch,LH
7,4,1,0.5676,1,Switch,LH
7,4,1,0.4499,1,Switch,LH
7,4,1,0.43,1,Switch,LH
7,4,1,0.2531,1,Switch,LH
7,4,1,0.2453,1,Switch,LH
7,4,1,0.4792,1,Switch,LH
7,4,1,0.6144,1,Switch,LH
7,4,1,0.5046,1,Switch,LH
7,4,1,0.5787,1,Switch,LH
7,4,1,0.4825,1,Switch,LH
7,4,0,0.3978,1,Switch,LH
7,4,0,0.385,1,Switch,LH
7,4,0,0.4091,1,Switch,LH
7,4,1,0.4715,1,Switch,LH
7,4,1,0.3246,1,Switch,LH
7,4,1,0.5135,1,Switch,LH
7,4,1,0.8147,1,Switch,LH
7,4,1,0.4655,1,Switch,LH
7,4,0,0.3666,1,Switch,LH
7,4,0,0.3943,1,Switch,LH
7,4,1,0.5795,1,Switch,LH
7,4,0,0.3616,1,Switch,LH
7,4,0,0.3888,1,Switch,LH
7,4,0,0.4241,1,Switch,LH
7,4,1,0.4003,1,Switch,LH
7,4,0,0.4415,1,Switch,LH
7,4,1,0.5207,1,Switch,LH
7,4,0,0.4239,1,Switch,LH
7,4,1,0.578,1,Switch,LH
7,4,1,0.5656,1,Switch,LH
7,4,0,0.5197,1,Switch,LH
7,4,0,0.4078,1,Switch,LH
7,4,1,0.6189,1,Switch,LH
7,4,1,0.983,1,Switch,LH
7,4,0,0.4265,1,Switch,LH
7,4,0,0.6386,1,Switch,LH
7,4,0,0.4648,1,Switch,LH
7,4,1,0.5628,1,Switch,LH
7,4,1,0.454,1,Switch,LH
7,4,1,0.4903,1,Switch,LH
7,4,0,0.3664,1,Switch,LH
7,4,1,0.4806,1,Switch,LH
7,4,0,0.4699,1,Switch,LH
7,4,0,0.6876,1,Base,LL
7,4,1,0.4278,1,Base,LL
7,4,0,0.336,1,Base,LL
7,4,1,0.5692,1,Base,LL
7,4,1,0.3781,1,Base,LL
7,4,1,0.5904,1,Base,LL
7,4,0,0.5465,1,Base,LL
7,4,1,1.0187,1,Base,LL
7,4,0,0.3516,1,Base,LL
7,4,1,0.3638,1,Base,LL
7,4,0,0.6324,1,Base,LL
7,4,1,0.5634,1,Base,LL
7,4,1,0.4936,1,Base,LL
7,4,0,0.3779,1,Base,LL
7,4,0,0.5235,1,Base,LL
7,4,0,0.4137,1,Base,LL
7,4,1,0.8149,1,Base,LL
7,4,1,0.629,1,Base,LL
7,4,0,0.3957,1,Base,LL
7,4,0,0.3789,1,Base,LL
7,4,0,0.4852,1,Base,LL
7,4,0,0.5514,1,Base,LL
7,4,1,0.3911,1,Base,LL
7,4,0,0.3753,1,Base,LL
7,4,1,0.4055,1,Base,LL
7,4,1,0.3857,1,Base,LL
7,4,0,0.3903,1,Base,LL
7,4,0,0.3464,1,Base,LL
7,4,0,0.3466,1,Base,LL
7,4,0,0.3151,1,Base,LL
7,4,1,0.5679,1,Base,LL
7,4,0,0.3721,1,Base,LL
7,4,1,0.4182,1,Base,LL
7,4,1,0.6653,1,Base,LL
7,4,0,0.4395,1,Base,LL
7,4,1,0.4586,1,Base,LL
7,4,1,0.588,1,Base,LL
7,4,0,0.4202,1,Base,LL
7,4,1,0.4812,1,Base,LL
7,4,0,0.5153,1,Base,LL
7,4,1,0.6201,1,Base,LL
7,4,1,0.5783,1,Base,LL
7,4,1,0.4365,1,Base,LL
7,4,0,0.4835,1,Base,LL
7,4,1,0.5106,1,Base,LL
7,4,0,0.4468,1,Base,LL
7,4,0,1.405,1,Base,LL
8,4,0,0.4811,1,Base,LL
8,1,1,1.1112,1,Dual,HH
8,1,0,0.6173,1,Dual,HH
8,1,1,1.4412,1,Dual,HH
8,1,0,0.7514,1,Dual,HH
8,1,1,1.5175,0,Dual,HH
8,1,1,0.8346,1,Dual,HH
8,1,1,1.8289,1,Dual,HH
8,1,1,1.1601,1,Dual,HH
8,1,0,0.7603,1,Dual,HH
8,1,0,0.8383,1,Dual,HH
8,1,0,1.0375,1,Dual,HH
8,1,1,0.9846,1,Dual,HH
8,1,1,0.7178,1,Dual,HH
8,1,0,0.5819,1,Dual,HH
8,1,0,0.4211,1,Dual,HH
8,1,1,1.0707,1,Dual,HH
8,1,1,0.8508,1,Dual,HH
8,1,0,0.505,0,Dual,HH
8,1,0,0.5677,1,Dual,HH
8,1,1,0.5809,1,Dual,HH
8,1,1,0.607,1,Dual,HH
8,1,0,1.0579,1,Dual,HH
8,1,0,0.3501,1,Dual,HH
8,1,1,0.7532,1,Dual,HH
8,1,0,0.6443,1,Dual,HH
8,1,0,0.4055,1,Dual,HH
8,1,1,1.2932,1,Dual,HH
8,1,1,0.9403,1,Dual,HH
8,1,0,0.4333,1,Dual,HH
8,1,1,0.5605,1,Dual,HH
8,1,0,0.5196,1,Dual,HH
8,1,0,0.5739,1,Dual,HH
8,1,1,1.3811,1,Dual,HH
8,1,1,1.4343,1,Dual,HH
8,1,0,0.7272,1,Dual,HH
8,1,0,0.6364,1,Dual,HH
