,resp,rt,acc,onset,onseterror,duration,durationerror,trialtype,matchtype,letter,location1,location2,location3,location4,content,wm,dt,runnum, blocknum,trialnum,subj_idx,response
4363,4$,0.889781151,1,169.8071253,0.007125349,0.499974142,-2.59E-05,VerbalSwitchStart,NonMatch,L,975,579,1075,679,verbal,no,yes,1,5,36,5,1
4364,1!,0.472993412,1,173.7068958,0.006895787,0.499968924,-3.11E-05,ReturnVerbalSwitchStart,Match,T,910,380,1010,480,verbal,no,yes,1,5,36,5,0
4365,1!,0.905118981,1,177.206699,0.006699019,0.49997154,-2.85E-05,verbalBaseline2,Match,A,845,579,945,679,verbal,no,yes,1,5,36,5,0
4366,4$,1.115263739,1,180.7064984,0.006498358,0.499962937,-3.71E-05,verbalBaseline2,NonMatch,T,975,579,1075,679,verbal,no,yes,1,5,36,5,1
4367,1!,1.167649721,1,188.1060563,0.006056298,0.49997273,-2.73E-05,spatialInit,Match,E,910,380,1010,480,spatial,yes,yes,1,6,47,5,0
4368,4$,0.89877822,1,191.2058775,0.005877511,0.49997206,-2.79E-05,spatialBaseline1,NonMatch,T,805,456,905,556,spatial,yes,yes,1,6,47,5,1
4369,1!,0.994970452,1,195.1056528,0.005652832,0.499970884,-2.91E-05,SpatialBranchTaskCue,Match,E,1015,456,1115,556,spatial,yes,yes,1,6,47,5,0
4370,4$,1.488104438,1,198.2054667,0.005466683,0.49997149,-2.85E-05,SpatialBranchStart,NonMatch,A,975,579,1075,679,spatial,yes,yes,1,6,47,5,1
4371,4$,1.261241114,0,202.1052343,0.00523427,0.499972816,-2.72E-05,SpatialBranchStart,Match,E,910,380,1010,480,spatial,yes,yes,1,6,47,5,1
4372,4$,1.242452169,1,206.0050164,0.005016433,0.499970214,-2.98E-05,SpatialBranchBack,NonMatch,L,1015,456,1115,556,spatial,yes,yes,1,6,47,5,1
4373,1!,0.912610774,0,209.1048279,0.004827904,0.499974911,-2.51E-05,ReturnSpatialBranchBack,NonMatch,B,910,380,1010,480,spatial,yes,yes,1,6,47,5,0
4374,4$,1.0487575,1,212.6046223,0.004622297,0.499968069,-3.19E-05,spatialBaseline2,NonMatch,L,805,456,905,556,spatial,yes,yes,1,6,47,5,1
4375,1!,0.814096705,1,219.6042129,0.004212894,0.499981233,-1.88E-05,spatialInit,Match,T,910,380,1010,480,spatial,no,yes,1,7,55,5,0
4376,4$,0.865375312,1,223.5039927,0.003992691,0.499966458,-3.35E-05,spatialBaseline1,NonMatch,L,845,579,945,679,spatial,no,yes,1,7,55,5,1
4377,4$,1.146405771,0,226.6038043,0.003804347,0.499978247,-2.18E-05,SpatialSwitchTaskCue,Match,T,910,380,1010,480,spatial,no,yes,1,7,55,5,1
4378,1!,0.63357321,1,230.5035867,0.003586709,0.499959281,-4.07E-05,SpatialSwitchBack,Match,B,975,579,1075,679,spatial,no,yes,1,7,55,5,0
4379,4$,1.125821591,1,233.6033961,0.003396085,0.49997035,-2.97E-05,SpatialSwitchStart,NonMatch,L,1015,456,1115,556,spatial,no,yes,1,7,55,5,1
4380,1!,1.144882485,0,236.703216,0.003215959,0.499980378,-1.96E-05,SpatialSwitchBack,NonMatch,A,975,579,1075,679,spatial,no,yes,1,7,55,5,0
4381,1!,1.134065527,0,240.2030081,0.003008121,0.49997273,-2.73E-05,ReturnSpatialSwitchBack,NonMatch,T,910,380,1010,480,spatial,no,yes,1,7,55,5,0
4382,1!,0.941246448,1,244.1027917,0.002791723,0.499973857,-2.61E-05,spatialBaseline2,Match,E,975,579,1075,679,spatial,no,yes,1,7,55,5,0
4383,1!,0.723384804,1,247.6025874,0.002587357,0.499963792,-3.62E-05,spatialBaseline2,Match,B,805,456,905,556,spatial,no,yes,1,7,55,5,0
